date,timestamp,minimum spectral radiance at 3.9 µm,maximum spectral radiance at 3.9 µm,mean spectral radiance at 3.9 µm
2015-12-01 23:30:00,1449012600000,0.156386,0.221342,0.187875
2015-12-02 00:00:00,1449014400000,0.151575,0.221342,0.187715
2015-12-02 00:15:00,1449015300000,0.156386,0.218936,0.186057
2015-12-02 00:30:00,1449016200000,0.156386,0.21653,0.186752
2015-12-02 00:45:00,1449017100000,0.158792,0.214125,0.186271
2015-12-02 01:00:00,1449018000000,0.151575,0.21653,0.184881
2015-12-02 01:15:00,1449018900000,0.158792,0.214125,0.184721
2015-12-02 01:30:00,1449019800000,0.151575,0.214125,0.184079
2015-12-02 01:45:00,1449020700000,0.146763,0.214125,0.183064
2015-12-02 02:00:00,1449021600000,0.151575,0.211719,0.183384
2015-12-02 02:15:00,1449022500000,0.149169,0.21653,0.184507
2015-12-02 02:30:00,1449023400000,0.161198,0.214125,0.185362
2015-12-02 02:45:00,1449024300000,0.161198,0.211719,0.184828
2015-12-02 03:00:00,1449025200000,0.158792,0.214125,0.183812
2015-12-02 03:15:00,1449026100000,0.158792,0.214125,0.184186
2015-12-02 03:30:00,1449027000000,0.166009,0.214125,0.183117
2015-12-02 03:45:00,1449027900000,0.149169,0.211719,0.182048
2015-12-02 04:00:00,1449028800000,0.163604,0.211719,0.182903
2015-12-02 04:15:00,1449029700000,0.156386,0.211719,0.183438
2015-12-02 04:30:00,1449030600000,0.156386,0.211719,0.183384
2015-12-02 04:45:00,1449031500000,0.158792,0.209313,0.182582
2015-12-02 05:00:00,1449032400000,0.163604,0.206907,0.183064
2015-12-02 05:15:00,1449033300000,0.156386,0.209313,0.182636
2015-12-02 05:30:00,1449034200000,0.149169,0.209313,0.182796
2015-12-02 05:45:00,1449035100000,0.158792,0.211719,0.183117
2015-12-02 06:15:00,1449036900000,0.166009,0.221342,0.191724
2015-12-02 06:30:00,1449037800000,0.156386,0.221342,0.195573
2015-12-02 06:45:00,1449038700000,0.158792,0.242994,0.204448
2015-12-02 07:00:00,1449039600000,0.158792,0.257428,0.214659
2015-12-02 07:15:00,1449040500000,0.163604,0.27908,0.22487
2015-12-02 07:30:00,1449041400000,0.175632,0.303138,0.236846
2015-12-02 07:45:00,1449042300000,0.18285,0.334412,0.250692
2015-12-02 08:15:00,1449044100000,0.197284,0.380122,0.28031
2015-12-02 08:30:00,1449045000000,0.19969,0.401774,0.295225
2015-12-02 08:45:00,1449045900000,0.206907,0.423425,0.310462
2015-12-02 09:00:00,1449046800000,0.211719,0.445077,0.329227
2015-12-02 09:15:00,1449047700000,0.21653,0.478758,0.342859
2015-12-02 09:30:00,1449048600000,0.233371,0.519656,0.362373
2015-12-02 09:45:00,1449049500000,0.242994,0.531684,0.38087
2015-12-02 10:15:00,1449051300000,0.259834,0.555742,0.41562
2015-12-02 10:30:00,1449052200000,0.250211,0.579799,0.426954
2015-12-02 10:45:00,1449053100000,0.259834,0.579799,0.440426
2015-12-02 11:15:00,1449054900000,0.286297,0.601451,0.457534
2015-12-02 11:30:00,1449055800000,0.286297,0.594234,0.458977
2015-12-02 11:45:00,1449056700000,0.293515,0.582205,0.455876
2015-12-02 12:15:00,1449058500000,0.286297,0.567771,0.449996
2015-12-02 12:30:00,1449059400000,0.283892,0.531684,0.43925
2015-12-02 12:45:00,1449060300000,0.286297,0.502815,0.420485
2015-12-02 13:15:00,1449062100000,0.26224,0.457106,0.374829
2015-12-02 13:30:00,1449063000000,0.267051,0.428237,0.353926
2015-12-02 13:45:00,1449063900000,0.259834,0.392151,0.332327
2015-12-02 14:00:00,1449064800000,0.245399,0.360876,0.311103
2015-12-02 14:15:00,1449065700000,0.230965,0.336818,0.290788
2015-12-02 14:30:00,1449066600000,0.223748,0.315166,0.270633
2015-12-02 14:45:00,1449067500000,0.19969,0.291109,0.247591
2015-12-02 15:15:00,1449069300000,0.175632,0.257428,0.19707
2015-12-02 15:30:00,1449070200000,0.163604,0.255022,0.184614
2015-12-02 15:45:00,1449071100000,0.163604,0.252617,0.181032
2015-12-02 16:00:00,1449072000000,0.158792,0.27908,0.180925
2015-12-02 16:15:00,1449072900000,0.158792,0.257428,0.177236
2015-12-02 16:30:00,1449073800000,0.161198,0.271863,0.178626
2015-12-02 16:45:00,1449074700000,0.158792,0.317572,0.180765
2015-12-02 17:15:00,1449076500000,0.156386,0.315166,0.176969
2015-12-02 17:30:00,1449077400000,0.153981,0.339224,0.178787
2015-12-02 17:45:00,1449078300000,0.153981,0.372905,0.181353
2015-12-02 18:00:00,1449079200000,0.153981,0.372905,0.184293
2015-12-02 18:15:00,1449080100000,0.146763,0.384933,0.185095
2015-12-02 18:30:00,1449081000000,0.141952,0.411397,0.185683
2015-12-02 18:45:00,1449081900000,0.156386,0.466729,0.188998
2015-12-02 19:00:00,1449082800000,0.132329,0.4547,0.189639
2015-12-02 19:15:00,1449083700000,0.151575,0.411397,0.187447
2015-12-02 19:30:00,1449084600000,0.146763,0.392151,0.186004
2015-12-02 19:45:00,1449085500000,0.156386,0.401774,0.189051
2015-12-02 20:00:00,1449086400000,0.149169,0.418614,0.194397
2015-12-02 20:15:00,1449087300000,0.153981,0.478758,0.201828
2015-12-02 20:30:00,1449088200000,0.158792,0.673624,0.221074
