date,timestamp,minimum spectral radiance at 3.9 µm,maximum spectral radiance at 3.9 µm,mean spectral radiance at 3.9 µm
20/08/2015 00:00,1.44003E+12,0.158792,0.327195,0.226033
20/08/2015 00:15,1.44003E+12,0.149169,0.310355,0.209072
20/08/2015 00:30,1.44003E+12,0.168415,0.286297,0.213162
20/08/2015 00:45,1.44003E+12,0.170821,0.291109,0.215929
20/08/2015 01:00,1.44003E+12,0.168415,0.274269,0.21232
20/08/2015 01:15,1.44003E+12,0.168415,0.257428,0.207629
20/08/2015 01:30,1.44003E+12,0.168415,0.274269,0.202697
20/08/2015 01:45,1.44004E+12,0.168415,0.26224,0.201615
20/08/2015 02:00,1.44004E+12,0.168415,0.291109,0.207629
20/08/2015 02:15,1.44004E+12,0.168415,0.276674,0.203659
20/08/2015 02:30,1.44004E+12,0.175632,0.305543,0.205704
20/08/2015 02:45,1.44004E+12,0.192473,0.300732,0.227116
20/08/2015 03:00,1.44004E+12,0.259834,0.332007,0.290267
20/08/2015 03:15,1.44004E+12,0.267051,0.401774,0.349088
20/08/2015 03:30,1.44004E+12,0.269457,0.4547,0.369657
20/08/2015 03:45,1.44004E+12,0.250211,0.478758,0.368334
20/08/2015 04:00,1.44004E+12,0.267051,0.526873,0.419576
20/08/2015 04:15,1.44004E+12,0.34163,0.50041,0.448205
20/08/2015 04:30,1.44005E+12,0.377716,0.510033,0.455783
20/08/2015 04:45,1.44005E+12,0.408991,0.510033,0.456986
20/08/2015 05:00,1.44005E+12,0.389745,0.505221,0.452294
20/08/2015 05:15,1.44005E+12,0.363282,0.476352,0.436898
20/08/2015 05:30,1.44005E+12,0.351253,0.469135,0.410915
20/08/2015 05:45,1.44005E+12,0.353658,0.440266,0.401052
20/08/2015 06:00,1.44005E+12,0.344035,0.433048,0.396361
20/08/2015 06:15,1.44005E+12,0.344035,0.435454,0.392752
20/08/2015 06:30,1.44005E+12,0.332007,0.423425,0.389143
20/08/2015 06:45,1.44005E+12,0.35847,0.413802,0.386617
20/08/2015 07:00,1.44005E+12,0.351253,0.408991,0.382407
20/08/2015 07:15,1.44005E+12,0.353658,0.416208,0.382287
20/08/2015 07:30,1.44006E+12,0.348847,0.406585,0.378799
20/08/2015 07:45,1.44006E+12,0.332007,0.418614,0.380362
20/08/2015 08:00,1.44006E+12,0.346441,0.413802,0.379641
20/08/2015 08:15,1.44006E+12,0.327195,0.411397,0.36677
20/08/2015 08:30,1.44006E+12,0.329601,0.392151,0.361477
20/08/2015 08:45,1.44006E+12,0.332007,0.416208,0.37098
20/08/2015 09:00,1.44006E+12,0.336818,0.452294,0.389745
20/08/2015 09:15,1.44006E+12,0.334412,0.452294,0.401052
20/08/2015 09:30,1.44006E+12,0.327195,0.445077,0.395398
20/08/2015 09:45,1.44006E+12,0.339224,0.459512,0.405503
20/08/2015 10:00,1.44006E+12,0.360876,0.478758,0.426312
20/08/2015 10:15,1.44007E+12,0.380122,0.488381,0.437018
20/08/2015 10:30,1.44007E+12,0.394556,0.51725,0.467691
20/08/2015 10:45,1.44007E+12,0.406585,0.553336,0.484291
20/08/2015 11:00,1.44007E+12,0.406585,0.541307,0.485133
20/08/2015 11:15,1.44007E+12,0.408991,0.529279,0.482607
20/08/2015 11:30,1.44007E+12,0.43786,0.536496,0.485494
20/08/2015 11:45,1.44007E+12,0.435454,0.546119,0.504499
20/08/2015 12:00,1.44007E+12,0.445077,0.546119,0.497162
20/08/2015 12:15,1.44007E+12,0.442671,0.514844,0.477916
20/08/2015 12:30,1.44007E+12,0.416208,0.469135,0.443995
20/08/2015 12:45,1.44007E+12,0.37531,0.425831,0.401894
20/08/2015 13:00,1.44008E+12,0.312761,0.37531,0.348005
20/08/2015 13:15,1.44008E+12,0.252617,0.327195,0.287981
20/08/2015 13:30,1.44008E+12,0.221342,0.271863,0.243475
20/08/2015 13:45,1.44008E+12,0.192473,0.269457,0.219297
20/08/2015 14:00,1.44008E+12,0.197284,0.327195,0.226274
20/08/2015 14:15,1.44008E+12,0.202096,0.339224,0.235295
20/08/2015 14:30,1.44008E+12,0.202096,0.334412,0.234213
20/08/2015 14:45,1.44008E+12,0.187661,0.329601,0.234092
